"Usina nuclear","Capacidade (MW)","País","Coordenadas geográficas
"
"Usina Nuclear de Fukushima II","4.400","&nbsp;Japão","37° 19′ 10″ N, 141° 01′ 16″ L
"
"Usina Nuclear de Genkai","3.478","&nbsp;Japão","33° 30′ 56″ N, 129° 50′ 14″ L
"
"Usina Nuclear de Goesgen","1.020"," Suíça","47° 21′ 57″ N, 7° 58′ 00″ L
"
"Usina Nuclear de Golfech","2.726","&nbsp;França","44° 06′ 24″ N, 0° 50′ 43″ L
"
"Usina Nuclear de Grafenrheinfeld","1.345","&nbsp;Alemanha","49° 59′ 02″ N, 10° 11′ 05″ L
"
"Usina Nuclear de Gravelines","5.460","&nbsp;França","51° 00′ 55″ N, 2° 08′ 10″ L
"
"Usina Nuclear de Greifswald","1.760","&nbsp;Alemanha","54° 08′ 26″ N, 13° 39′ 52″ L
"
"Usina Nuclear de Grohnde","1.430","&nbsp;Alemanha","52° 02′ 07″ N, 9° 24′ 48″ L
"
"Usina Nuclear de Gundremmingen","2.938","&nbsp;Alemanha","48° 30′ 53″ N, 10° 24′ 08″ L
"
"Usina Nuclear de Hamaoka","4.997","&nbsp;Japão","34° 37′ 25″ N, 138° 08′ 33″ L
"
"Usina Nuclear de Hartlepool","1.575","&nbsp;Reino Unido","54° 38′ 06″ N, 1° 10′ 51″ O
"
"Usina Nuclear de Higashidōri","1.100","&nbsp;Japão","41° 11′ 17″ N, 141° 23′ 25″ L
"
"Usina Nuclear de Hinkley Point B","1.250","&nbsp;Reino Unido","51° 12′ 33″ N, 3° 07′ 39″ O
"
"Usina Nuclear de Hunterston B","1.190","&nbsp;Reino Unido","55° 43′ 20″ N, 4° 53′ 24″ O
"
"Usina Nuclear de Ikata","2.022","&nbsp;Japão","33° 29′ 27″ N, 132° 18′ 41″ L
"
"Usina Nuclear de Isar","2.387","&nbsp;Alemanha","48° 36′ 20″ N, 12° 17′ 35″ L
"
"Usina Nuclear de Kalinin","3.000","&nbsp;Rússia","57° 54′ 20″ N, 35° 03′ 37″ L
"
"Usina Nuclear de Kashiwazaki-Kariwa","8.212","&nbsp;Japão","37° 25′ 45″ N, 138° 35′ 43″ L
"
"Usina Nuclear de Khmelnitskiy","1.900","&nbsp;Ucrânia","50° 18′ 05″ N, 26° 38′ 59″ L
"
